id,node_id:id,class_id:id,relation,topic,topic_en,note
klink_cook_isco_5120,spec_cook,kc_isco_5120,classified_as,,,
klink_line_cook_isco_5120,spec_line_cook,kc_isco_5120,classified_as,,,
klink_prep_isco_9412,spec_prep,kc_isco_9412,classified_as,,,
klink_prep_isco_5120,spec_prep,kc_isco_5120,classified_as,,,
klink_commis_cook_isco_5120,spec_commis_cook,kc_isco_5120,classified_as,,,
klink_commis_cook_isco_9412,spec_commis_cook,kc_isco_9412,classified_as,,,
klink_dishwashing_isco_9412,spec_dishwashing,kc_isco_9412,classified_as,,,
klink_chef_isco_3434,spec_chef,kc_isco_3434,classified_as,,,
klink_kitchen_porter_isco_9412,spec_kitchen_porter,kc_isco_9412,classified_as,,,
klink_kitchen_steward_isco_5151,spec_kitchen_steward,kc_isco_5151,classified_as,,,
klink_kitchen_steward_isco_9412,spec_kitchen_steward,kc_isco_9412,classified_as,,,
klink_kitchen_apprentice_isco_9412,spec_kitchen_apprentice,kc_isco_9412,classified_as,,,
klink_chef_de_partie_isco_3434,spec_chef_de_partie,kc_isco_3434,classified_as,,,
klink_chef_de_partie_isco_5120,spec_chef_de_partie,kc_isco_5120,classified_as,,,
klink_sous_chef_isco_3434,spec_sous_chef,kc_isco_3434,classified_as,,,
klink_executive_chef_isco_3434,spec_executive_chef,kc_isco_3434,classified_as,,,
klink_executive_chef_isco_1412,spec_executive_chef,kc_isco_1412,classified_as,,,
klink_head_of_kitchen_operations_isco_1412,spec_head_of_kitchen_operations,kc_isco_1412,classified_as,,,
klink_head_of_kitchen_operations_isco_3434,spec_head_of_kitchen_operations,kc_isco_3434,classified_as,,,
klink_kitchen_supervisor_isco_3434,spec_kitchen_supervisor,kc_isco_3434,classified_as,,,
klink_kitchen_supervisor_isco_5120,spec_kitchen_supervisor,kc_isco_5120,classified_as,,,
klink_sauce_cook_isco_5120,spec_sauce_cook,kc_isco_5120,classified_as,,,
klink_fish_cook_isco_5120,spec_fish_cook,kc_isco_5120,classified_as,,,
klink_roast_cook_isco_5120,spec_roast_cook,kc_isco_5120,classified_as,,,
klink_grill_cook_isco_5120,spec_grill_cook,kc_isco_5120,classified_as,,,
klink_fry_cook_isco_5120,spec_fry_cook,kc_isco_5120,classified_as,,,
klink_fry_cook_isco_9411,spec_fry_cook,kc_isco_9411,classified_as,,,
klink_entremetier_isco_5120,spec_entremetier,kc_isco_5120,classified_as,,,
klink_soup_cook_isco_5120,spec_soup_cook,kc_isco_5120,classified_as,,,
klink_vegetable_cook_isco_5120,spec_vegetable_cook,kc_isco_5120,classified_as,,,
